Name of the component,Quantity required,Price per unit(INR),Price per unit (USD),Web Link
SL2.1A,1,25.778,0.27,https://www.aliexpress.com/item/1005005552905296.html
Type C female port,5,38,0.4,https://robu.in/product/type-c-31-m-12-hroparts-5a-1-16p-female-type-c-smd-usb-connectors-rohs/
Resistor (5.1k),2,1.32,0.014,https://evelta.com/5-1-kohm-1-0603-thick-film-chip-resistor-smd-rc0603fr-075k1l/?sku=039-RC0603FR-075K1L&utm_source=google&utm_campaign=20307996132&utm_medium=cpc&utm_content=&utm_term=&gad_source=1&gad_campaignid=20307998304&gbraid=0AAAAADwtsXmcUnsHric6Vc7VUIm585Jre&gclid=Cj0KCQjwz9_QBhD_ARIsADnSCfCiQ1XkMmYiFuCm4T9OyJLDWVjlLqXIKwdEX705iWoRVstlbj3Sb3kaAi3gEALw_wcB
Resistor(100),1,1.06,0.011,https://evelta.com/100r-1-0603-100mw-thick-film-chip-resistor-0603waf1000t5e/
Resistor(56k),8,1.3,0.014,https://evelta.com/56k-1-0-125w-0805-chip-resistor/
Capacitor(1uF),4,19.57,0.2,https://www.mouser.in/Cart/
Capacitor(10uF),1,30.75,0.32,https://www.mouser.in/Cart/
Capacitor(100uF),6,68.02,0.71,https://www.mouser.in/Cart/
LED,1,3,0.031,https://probots.co.in/white-led-smd-surface-mount-1206-package.html
Diode,1,19.98,0.209,https://www.ovaga.com/products/detail/sd1206t020s1r0?srsltid=AfmBOooQs6wY8QMw3X4GXPn8d7FmDqG1ttNxb9ZwSIQVZtpoaPGdAq6B
